filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction
channelA_2025-05-16_17-50-28.wav,20,,7,18,1,,4,,0,2,1,,True,
channelA_2025-05-16_17-50-33.wav,20,4,8,15,1,0,4,1,0,2,1,0,True,
channelA_2025-05-16_17-50-38.wav,20,,7,15,1,,4,,0,2,1,,True,
channelA_2025-05-16_17-50-43.wav,20,,8,15,1,,4,,25,2,1,,True,
channelA_2025-05-16_17-50-48.wav,20,,8,15,1,,4,,25,2,1,,True,
channelA_2025-05-16_17-50-53.wav,20,,8,15,1,,4,,0,2,1,,True,
channelA_2025-05-16_17-50-58.wav,20,,8,15,1,,4,,0,2,1,,True,
channelA_2025-05-16_17-51-08.wav,20,4,8,15,1,0,4,1,0,2,1,0,True,
channelA_2025-05-16_17-51-13.wav,20,,7,15,1,,4,,0,2,1,,True,
channelA_2025-05-16_17-51-18.wav,20,4,16,7,1,0,4,1,25,2,1,0,True,
channelA_2025-05-16_17-51-23.wav,20,,16,7,1,,4,,25,0,1,,True,
channelA_2025-05-16_17-51-28.wav,20,,16,7,1,,4,,25,2,1,,True,
channelA_2025-05-16_17-51-33.wav,20,,16,7,1,,4,,0,0,1,,True,
channelA_2025-05-16_17-51-38.wav,20,4,19,7,1,0,4,1,0,0,1,0,True,
channelA_2025-05-16_17-51-43.wav,20,,21,7,1,,4,,0,0,1,,True,
channelA_2025-05-16_17-51-48.wav,20,,16,7,1,,4,,0,2,1,,True,
